id,name,slug,description,price,sale_price,category_id,image_url,ingredients,ingredient_details,is_vegan_certified,stock_quantity,created_at
72036044-0715-4f89-9287-9a0779c5b2fb,캘린듈라 수딩 클렌징 젤,cleanser-01,피부에 자극 없이 메이크업과 노폐물을 깨끗하게 제거하는 저자극 클렌저입니다. 녹차추출물 성분이 세안 후에도 당김 없이 촉촉한 피부를 유지해줍니다.,28000,23100.0,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-01.webp,"[""녹차추출물"", ""캘린듈라"", ""카모마일추출물"", ""티트리""]","[{""name"": ""녹차추출물"", ""role"": ""항산화/진정"", ""origin"": ""독일"", ""grade"": ""EWG 1등급""}, {""name"": ""캘린듈라"", ""role"": ""진정/보호"", ""origin"": ""한국"", ""grade"": ""EWG 1등급""}, {""name"": ""카모마일추출물"", ""role"": ""진정"", ""origin"": ""프랑스"", ""grade"": ""EWG 1등급""}, {""name"": ""티트리"", ""role"": ""진정/항균"", ""origin"": ""한국"", ""grade"": ""EWG 1등급""}]",True,189,2025-04-01T00:00:00+09:00
875a1387-7bdd-4fb0-854c-c4f1f41f84f5,그린티 딥 클렌징 폼,cleanser-02,풍성한 거품으로 모공 속 노폐물까지 깨끗하게 세정하는 비건 클렌저입니다. 라벤더추출물(이)가 피부 진정에 도움을 줍니다.,24000,20100.0,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-02.webp,"[""라벤더추출물"", ""백련추출물"", ""알로에""]","[{""name"": ""라벤더추출물"", ""role"": ""진정/항균"", ""origin"": ""일본"", ""grade"": ""EWG 1등급""}, {""name"": ""백련추출물"", ""role"": ""미백/보습"", ""origin"": ""프랑스"", ""grade"": ""자체 인증""}, {""name"": ""알로에"", ""role"": ""수분/진정"", ""origin"": ""일본"", ""grade"": ""EWG 1등급""}]",True,147,2025-04-01T00:00:00+09:00
924a1c0e-27e5-490f-8d95-46d972f27eac,히알루론 마일드 클렌저,cleanser-03,풍성한 거품으로 모공 속 노폐물까지 깨끗하게 세정하는 비건 클렌저입니다. 글리세린(이)가 피부 진정에 도움을 줍니다.,19000,,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-03.webp,"[""글리세린"", ""병풀추출물(시카)"", ""백련추출물"", ""히알루론산"", ""카모마일추출물""]","[{""name"": ""글리세린"", ""role"": ""보습"", ""origin"": ""독일"", ""grade"": ""EWG 1등급""}, {""name"": ""병풀추출물(시카)"", ""role"": ""재생/진정"", ""origin"": ""호주"", ""grade"": ""EWG 1등급""}, {""name"": ""백련추출물"", ""role"": ""미백/보습"", ""origin"": ""일본"", ""grade"": ""EWG 2등급""}, {""name"": ""히알루론산"", ""role"": ""보습"", ""origin"": ""독일"", ""grade"": ""EWG 2등급""}, {""name"": ""카모마일추출물"", ""role"": ""진정"", ""origin"": ""일본"", ""grade"": ""EWG 1등급""}]",True,67,2025-04-01T00:00:00+09:00
63beffb6-3600-436c-9b36-ab5f0632b76f,병풀 시카 클렌징 밀크,cleanser-04,풍성한 거품으로 모공 속 노폐물까지 깨끗하게 세정하는 비건 클렌저입니다. 세라마이드(이)가 피부 진정에 도움을 줍니다.,18000,,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-04.webp,"[""세라마이드"", ""시어버터"", ""녹차추출물"", ""티트리"", ""아르간오일""]","[{""name"": ""세라마이드"", ""role"": ""피부장벽 강화"", ""origin"": ""호주"", ""grade"": ""EWG 2등급""}, {""name"": ""시어버터"", ""role"": ""보습/보호"", ""origin"": ""일본"", ""grade"": ""EWG 1등급""}, {""name"": ""녹차추출물"", ""role"": ""항산화/진정"", ""origin"": ""일본"", ""grade"": ""EWG 1등급""}, {""name"": ""티트리"", ""role"": ""진정/항균"", ""origin"": ""일본"", ""grade"": ""EWG 2등급""}, {""name"": ""아르간오일"", ""role"": ""영양/탄력"", ""origin"": ""미국"", ""grade"": ""EWG 2등급""}]",True,93,2025-04-01T00:00:00+09:00
2573cc11-d794-4e9c-97ed-f570513cc175,티트리 포어 클린 워시,cleanser-05,피부에 자극 없이 메이크업과 노폐물을 깨끗하게 제거하는 저자극 클렌저입니다. 비타민E 성분이 세안 후에도 당김 없이 촉촉한 피부를 유지해줍니다.,26000,,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-05.webp,"[""비타민E"", ""아르간오일"", ""병풀추출물(시카)"", ""감초추출물""]","[{""name"": ""비타민E"", ""role"": ""항산화/보호"", ""origin"": ""미국"", ""grade"": ""EWG 1등급""}, {""name"": ""아르간오일"", ""role"": ""영양/탄력"", ""origin"": ""스위스"", ""grade"": ""EWG 2등급""}, {""name"": ""병풀추출물(시카)"", ""role"": ""재생/진정"", ""origin"": ""프랑스"", ""grade"": ""EWG 2등급""}, {""name"": ""감초추출물"", ""role"": ""진정/미백"", ""origin"": ""스위스"", ""grade"": ""EWG 1등급""}]",True,118,2025-04-01T00:00:00+09:00
b2670e53-07e3-47cc-819c-86d9e989698b,알로에 수분 클렌징 폼,cleanser-06,풍성한 거품으로 모공 속 노폐물까지 깨끗하게 세정하는 비건 클렌저입니다. 스쿠알란(이)가 피부 진정에 도움을 줍니다.,19000,15300.0,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-06.webp,"[""스쿠알란"", ""로즈마리"", ""베타글루칸"", ""코엔자임Q10"", ""아르간오일"", ""시어버터"", ""비타민E"", ""캘린듈라""]","[{""name"": ""스쿠알란"", ""role"": ""보습/유연"", ""origin"": ""프랑스"", ""grade"": ""EWG 1등급""}, {""name"": ""로즈마리"", ""role"": ""항산화"", ""origin"": ""독일"", ""grade"": ""EWG 1등급""}, {""name"": ""베타글루칸"", ""role"": ""보습/면역강화"", ""origin"": ""미국"", ""grade"": ""EWG 1등급""}, {""name"": ""코엔자임Q10"", ""role"": ""항산화/탄력"", ""origin"": ""독일"", ""grade"": ""EWG 1등급""}, {""name"": ""아르간오일"", ""role"": ""영양/탄력"", ""origin"": ""프랑스"", ""grade"": ""자체 인증""}, {""name"": ""시어버터"", ""role"": ""보습/보호"", ""origin"": ""프랑스"", ""grade"": ""EWG 1등급""}, {""name"": ""비타민E"", ""role"": ""항산화/보호"", ""origin"": ""한국"", ""grade"": ""EWG 2등급""}, {""name"": ""캘린듈라"", ""role"": ""진정/보호"", ""origin"": ""스위스"", ""grade"": ""EWG 1등급""}]",True,90,2025-04-01T00:00:00+09:00
b14b8641-d673-4dc6-9f64-cf945c91c0c2,카모마일 로우 pH 젤 클렌저,cleanser-07,풍성한 거품으로 모공 속 노폐물까지 깨끗하게 세정하는 비건 클렌저입니다. 아르간오일(이)가 피부 진정에 도움을 줍니다.,28000,,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-07.webp,"[""아르간오일"", ""글리세린"", ""비타민E""]","[{""name"": ""아르간오일"", ""role"": ""영양/탄력"", ""origin"": ""독일"", ""grade"": ""EWG 2등급""}, {""name"": ""글리세린"", ""role"": ""보습"", ""origin"": ""한국"", ""grade"": ""EWG 2등급""}, {""name"": ""비타민E"", ""role"": ""항산화/보호"", ""origin"": ""한국"", ""grade"": ""EWG 2등급""}]",True,187,2025-04-01T00:00:00+09:00
013d895b-0005-4a06-93a6-0b36f446a0fe,로즈마리 리프레시 클렌저,cleanser-08,피부에 자극 없이 메이크업과 노폐물을 깨끗하게 제거하는 저자극 클렌저입니다. 티트리 성분이 세안 후에도 당김 없이 촉촉한 피부를 유지해줍니다.,22000,,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-08.webp,"[""티트리"", ""판테놀"", ""비타민C"", ""알로에"", ""비타민E""]","[{""name"": ""티트리"", ""role"": ""진정/항균"", ""origin"": ""미국"", ""grade"": ""EWG 2등급""}, {""name"": ""판테놀"", ""role"": ""보습/진정"", ""origin"": ""일본"", ""grade"": ""자체 인증""}, {""name"": ""비타민C"", ""role"": ""미백/항산화"", ""origin"": ""스위스"", ""grade"": ""EWG 1등급""}, {""name"": ""알로에"", ""role"": ""수분/진정"", ""origin"": ""한국"", ""grade"": ""EWG 2등급""}, {""name"": ""비타민E"", ""role"": ""항산화/보호"", ""origin"": ""일본"", ""grade"": ""EWG 2등급""}]",True,179,2025-04-01T00:00:00+09:00
dcd9dd5d-f988-450e-834a-671effc11fcd,판테놀 소프트 클렌징 워터,cleanser-09,피부에 자극 없이 메이크업과 노폐물을 깨끗하게 제거하는 저자극 클렌저입니다. 마데카소사이드 성분이 세안 후에도 당김 없이 촉촉한 피부를 유지해줍니다.,27000,23200.0,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-09.webp,"[""마데카소사이드"", ""라벤더추출물"", ""감초추출물"", ""프로폴리스""]","[{""name"": ""마데카소사이드"", ""role"": ""진정/재생"", ""origin"": ""독일"", ""grade"": ""EWG 1등급""}, {""name"": ""라벤더추출물"", ""role"": ""진정/항균"", ""origin"": ""한국"", ""grade"": ""EWG 1등급""}, {""name"": ""감초추출물"", ""role"": ""진정/미백"", ""origin"": ""일본"", ""grade"": ""EWG 2등급""}, {""name"": ""프로폴리스"", ""role"": ""영양/보호"", ""origin"": ""스위스"", ""grade"": ""EWG 2등급""}]",True,111,2025-04-01T00:00:00+09:00
a1beead0-c2af-4306-950a-3ac7c25b5200,어성초 트러블 클렌징 젤,cleanser-10,피부에 자극 없이 메이크업과 노폐물을 깨끗하게 제거하는 저자극 클렌저입니다. 세라마이드 성분이 세안 후에도 당김 없이 촉촉한 피부를 유지해줍니다.,18000,15100.0,14e055da-0d7c-44b5-800a-45a7b9896ac5,/images/products/cleanser-10.webp,"[""세라마이드"", ""카모마일추출물"", ""코엔자임Q10""]","[{""name"": ""세라마이드"", ""role"": ""피부장벽 강화"", ""origin"": ""스위스"", ""grade"": ""EWG 1등급""}, {""name"": ""카모마일추출물"", ""role"": ""진정"", ""origin"": ""프랑스"", ""grade"": ""EWG 1등급""}, {""name"": ""코엔자임Q10"", ""role"": ""항산화/탄력"", ""origin"": ""호주"", ""grade"": ""자체 인증""}]",True,92,2025-04-01T00:00:00+09:00
